LoanID,BorrowerID,LoanAmount,CreditScore,DebtToIncomeRatio,RiskScore,Status,InterestRate
LN003038,BW002138,381850.3183969263,524,3.955955113488729,100,Current,15.96415387935249
LN002183,BW001283,323291.42519145925,597,5.063282475478287,95,Current,16.867190866797483
LN003203,BW002303,463687.7739290554,526,3.8977135103692735,95,Defaulted,15.654513672439416
LN005627,BW004727,175638.09424590503,585,1.4745682768629116,95,Paid Off,14.905473617722098
LN005236,BW004336,462562.509056874,535,4.596022726213581,95,Current,14.179521220358982
LN003194,BW002294,461969.36568984797,542,7.354700460632078,95,Paid Off,14.451082233956612
LN001848,BW000948,221245.71809577764,592,0.9306162068501138,90,Paid Off,17.50624196315487
LN004210,BW003310,378079.4668542033,595,0.9506261451989657,90,Current,16.761519578516946
LN001479,BW000579,291911.4531279276,531,2.4124740166346337,90,Paid Off,14.70832902158916
LN005908,BW005008,217371.2742340525,598,0.6791582059169693,90,Defaulted,15.116993021409726
LN001756,BW000856,484639.09173073835,590,0.6325518663502637,90,Current,14.505856981614285
LN001763,BW000863,42769.71481616938,640,0.5073187944851992,90,Defaulted,17.937287915256164
LN001489,BW000589,238466.4979215447,561,0.6276929462602671,90,Defaulted,14.123723525574263
LN004520,BW003620,433147.4727841035,601,4.568443940966634,90,Current,17.05724815371694
LN005363,BW004463,253265.8016020897,546,0.7585068492202577,90,Current,14.678136565260541
LN003381,BW002481,125637.28965918698,528,0.8583774532122348,90,Current,15.315175039973681
LN002349,BW001449,310065.88280173833,582,0.6031551991290622,90,Defaulted,14.02435012390236
LN002654,BW001754,328650.00295923,536,3.4340871928966505,90,Paid Off,15.737355406593167
LN003167,BW002267,213673.0692778752,586,1.3511771342193166,90,Paid Off,17.7856113000884
LN004937,BW004037,135421.0074516831,582,1.4183531439602866,90,Defaulted,15.268956995336087
LN002571,BW001671,222977.80272596658,581,0.5443424525235968,90,Current,14.239917088766067
LN002487,BW001587,411070.7824485276,556,0.8989775513572685,90,Defaulted,15.979770167607874
LN002405,BW001505,318301.42837927456,580,0.5652144796006559,90,Defaulted,16.834481601740524
LN003597,BW002697,248395.9893707984,623,2.6750211462263276,90,Defaulted,15.358023629087375
LN003950,BW003050,455376.2325577222,562,3.5742610334322613,90,Defaulted,17.327253968250997
LN004736,BW003836,280138.95201289403,587,0.5115155587880896,90,Current,15.494818948799475
LN001487,BW000587,368837.46716396254,566,1.895503168929034,90,Late,14.522018238549759
LN003175,BW002275,424129.0773509812,592,0.7410750346795197,90,Defaulted,17.03583926177104
LN005560,BW004660,423421.779857347,591,1.5270116778456362,90,Paid Off,17.047811030802507
LN005522,BW004622,252878.9862561537,578,0.6868535510140287,90,Current,16.658624796355756
